Date,Symbol,Open,High,Low,Close,Volume
2022-11-10 00:00:00+05:30,INFY.NS,1361.9339857187604,1386.6964218227379,1361.9339857187604,1377.479248046875,3435763
2022-11-11 00:00:00+05:30,INFY.NS,1418.4750969869554,1443.0999449630117,1418.4750969869554,1439.981689453125,7214098
2022-11-14 00:00:00+05:30,INFY.NS,1444.6131323053646,1459.51645137727,1438.4683120386903,1453.9219970703125,4908813
2022-11-15 00:00:00+05:30,INFY.NS,1447.0893718318237,1465.4319188955194,1442.4120447213857,1461.9010009765625,3497614
2022-11-16 00:00:00+05:30,INFY.NS,1464.7900096971075,1475.6579467024642,1461.4424723868096,1469.9718017578125,4497697
2022-11-17 00:00:00+05:30,INFY.NS,1464.8358035943602,1469.9718064752024,1451.7667384557692,1455.8480224609375,3469515
2022-11-18 00:00:00+05:30,INFY.NS,1459.7916463166098,1465.5695937519367,1444.9342271315247,1461.350830078125,3126064
2022-11-21 00:00:00+05:30,INFY.NS,1450.987352073004,1456.2608350406842,1434.4332683642735,1438.2392578125,3071764
2022-11-22 00:00:00+05:30,INFY.NS,1438.9728102933216,1456.3982299208378,1432.552918851605,1453.6927490234375,3399329
2022-11-23 00:00:00+05:30,INFY.NS,1457.2236776068496,1460.0667500182162,1448.419277384479,1451.9501953125,3245067
2022-11-24 00:00:00+05:30,INFY.NS,1457.3154109383324,1500.4203979201461,1453.4176195623174,1494.7342529296875,5282215
2022-11-25 00:00:00+05:30,INFY.NS,1496.2015740155414,1507.7573561793968,1480.0601551236466,1500.099365234375,4563255
2022-11-28 00:00:00+05:30,INFY.NS,1493.0833876173003,1516.4701360105687,1485.7463685135297,1488.8646240234375,3825766
2022-11-29 00:00:00+05:30,INFY.NS,1486.8468473018079,1502.9424774251793,1481.2066035401367,1494.04638671875,3131710
2022-11-30 00:00:00+05:30,INFY.NS,1485.7006074148594,1509.3625410366662,1479.4642077611848,1499.45751953125,11868134
2022-12-01 00:00:00+05:30,INFY.NS,1518.9462914993808,1533.9872026204164,1515.369584352362,1519.771728515625,5407928
2022-12-02 00:00:00+05:30,INFY.NS,1518.7629471181933,1524.0823307242517,1498.540243529846,1502.1629638671875,4283343
2022-12-05 00:00:00+05:30,INFY.NS,1502.2546462279884,1508.5369463809327,1488.77291854345,1503.859619140625,3824966
2022-12-06 00:00:00+05:30,INFY.NS,1490.3320828612875,1491.2492102968945,1474.3282538915594,1479.23486328125,4822398
2022-12-07 00:00:00+05:30,INFY.NS,1474.7408164804579,1489.2314737623112,1464.3772323790536,1472.447998046875,4898087
2022-12-08 00:00:00+05:30,INFY.NS,1472.4479729502166,1489.3231387245678,1466.0280814456066,1485.8839111328125,4206837
2022-12-09 00:00:00+05:30,INFY.NS,1493.083379473675,1493.083379473675,1431.7275351622377,1439.248046875,8880658
2022-12-12 00:00:00+05:30,INFY.NS,1421.5473714407533,1436.1755076749384,1403.2507258609144,1418.9793701171875,8037679
2022-12-13 00:00:00+05:30,INFY.NS,1418.9794213639211,1446.7684254424607,1413.4308679506453,1441.86181640625,6135067
2022-12-14 00:00:00+05:30,INFY.NS,1450.8954950923392,1456.8568229798866,1442.641348786504,1448.510986328125,4976020
2022-12-15 00:00:00+05:30,INFY.NS,1439.2480298964012,1439.8899742752963,1408.0197980930882,1412.834716796875,6443866
2022-12-16 00:00:00+05:30,INFY.NS,1398.6193933020268,1421.089016341961,1386.7426373339622,1396.0513916015625,9630453
2022-12-19 00:00:00+05:30,INFY.NS,1382.9821387832817,1391.1904957152399,1371.1512855645854,1382.431884765625,6222740
2022-12-20 00:00:00+05:30,INFY.NS,1376.6082828344672,1390.3651943884424,1359.5955240977712,1382.38623046875,7396259
2022-12-21 00:00:00+05:30,INFY.NS,1389.4480065636799,1394.9507709461102,1377.8463225999167,1384.44970703125,6236361
2022-12-22 00:00:00+05:30,INFY.NS,1395.4093535025568,1403.159035330933,1386.467361260263,1395.913818359375,6302640
2022-12-23 00:00:00+05:30,INFY.NS,1383.6701502561066,1384.7707703774543,1369.2712939559335,1373.031494140625,6283822
2022-12-26 00:00:00+05:30,INFY.NS,1376.1495255678556,1384.7705446533193,1372.3434248490905,1377.89208984375,4115459
2022-12-27 00:00:00+05:30,INFY.NS,1384.8164781367202,1395.363443276997,1373.3982867447278,1389.3104248046875,4860076
2022-12-28 00:00:00+05:30,INFY.NS,1380.368461733021,1398.5734186856855,1374.3154431330508,1385.0,5029860
2022-12-29 00:00:00+05:30,INFY.NS,1379.3596220007287,1395.2259709449818,1376.6082397759933,1391.7867431640625,4624745
2022-12-30 00:00:00+05:30,INFY.NS,1401.3707157827157,1403.57184400983,1379.405558572839,1383.2115478515625,5060544
2023-01-02 00:00:00+05:30,INFY.NS,1388.5308744976214,1399.9949669224698,1379.4055017090532,1397.7021484375,3801140
2023-01-03 00:00:00+05:30,INFY.NS,1393.8960033950495,1405.6352784494222,1389.5396484110163,1396.372314453125,4551130
2023-01-04 00:00:00+05:30,INFY.NS,1394.9506886748184,1394.9506886748184,1367.5285587288681,1370.9219970703125,7059590
2023-01-05 00:00:00+05:30,INFY.NS,1381.1021672768188,1381.1021672768188,1347.489425840876,1352.9462890625,9868404
2023-01-06 00:00:00+05:30,INFY.NS,1348.1772226656885,1352.7628594774767,1326.6247296502847,1328.458984375,6443714
2023-01-09 00:00:00+05:30,INFY.NS,1328.183820144947,1365.9236340298328,1328.183820144947,1361.4296875,11498717
2023-01-10 00:00:00+05:30,INFY.NS,1359.182808712685,1360.9253731659428,1333.5491426282238,1347.947998046875,7158624
2023-01-11 00:00:00+05:30,INFY.NS,1348.177199215431,1370.1882555291525,1342.674435137001,1349.3236083984375,6173092
2023-01-12 00:00:00+05:30,INFY.NS,1359.136903308,1361.9341866547945,1334.4203647021723,1357.8988037109375,6591385
2023-01-13 00:00:00+05:30,INFY.NS,1360.5584355646306,1393.4833301069489,1346.342961515927,1379.03857421875,11610426
2023-01-16 00:00:00+05:30,INFY.NS,1384.8624058326163,1401.370699412078,1377.8005694719036,1399.077880859375,6073063
2023-01-17 00:00:00+05:30,INFY.NS,1400.453510280707,1414.393801685257,1397.7021281387017,1411.9176025390625,5922644
2023-01-18 00:00:00+05:30,INFY.NS,1416.7325801385587,1423.24416242099,1412.0093515411083,1417.3287353515625,5843098
2023-01-19 00:00:00+05:30,INFY.NS,1412.284436925683,1421.1347382958118,1399.6739357893398,1411.3673095703125,6165284
2023-01-20 00:00:00+05:30,INFY.NS,1410.5419708855652,1416.9618628206752,1397.7021870153455,1399.123779296875,6496429
